OptionID,VaR_95,CVaR_95,VaR_99,CVaR_99,EntrySignals,ExitSignals,AvgDiasVencimento,AvgDelta,TotalTrades,WinRate,TotalReturn,SharpeRatio,MaxDrawdown
BOVAF127_2024.06.21,0.03703703703703709,0.05108399795273547,0.05555555555555547,0.06740929151248004,69,59,24.65757978723404,0.1058533231629128,12,0.5833333333333334,0.11658189845986708,2.4208180504273127,-0.19999999999999996
BOVAF128_2024.06.21,0.04166666666666663,0.0532687612171534,0.05555555555555547,0.07769346886993939,66,51,26.451339915373765,0.11069751462049342,12,0.5,-0.13829852216144703,-0.29535217146748083,-0.3666666666666666
BOVAF129_2024.06.21,0.032258064516129115,0.06655024881529513,0.07142857142857151,0.12026282004029687,54,51,27.068401486988847,0.09078367631183172,14,0.7142857142857143,0.45493377040691413,4.805372528314437,-0.3448275862068966
BOVAF130_2024.06.21,-0.0,0.001737970484516311,0.052631578947368474,0.0833830446727584,246,209,41.10887868350555,0.10101271903080483,47,0.6808510638297872,4.285137274771518,6.219261707444038,-0.3142857142857145
BOVAF131_2024.06.21,0.018867924528301883,0.03741550225410773,0.050000000000000044,0.07217000192794974,182,159,36.81363872982821,0.1594255309864605,35,0.5714285714285714,0.040478956485066594,0.882392316181578,-0.39457576279745377
BOVAF132_2024.06.21,0.017607655502392065,0.044971450777121544,0.05555555555555547,0.08849697275614028,222,209,38.172123893805306,0.13579666411531283,43,0.6511627906976745,1.3485265495045133,4.290155455485143,-0.24800081288421508
BOVAF133_2024.06.21,-0.0,0.0014685843489606592,0.04761904761904756,0.0838868818211598,228,204,40.49344115004492,0.12554866399807,39,0.6153846153846154,2.269074663009113,5.819234858375885,-0.235294117647059
BOVAF135_2024.06.21,-0.0,0.0016144502003157977,0.0625,0.09901840456392758,160,183,42.184142672969486,0.0820093582707177,33,0.7575757575757576,2.080691988339327,6.189281157602184,-0.2917337627482556
BOVAF136_2024.06.21,-0.0,0.0014857219489342272,0.06666666666666654,0.10963290869087972,89,91,44.69879518072289,0.0726449978068678,19,0.631578947368421,0.7032505686274517,4.293668963393819,-0.4166666666666666
BOVAF137_2024.06.21,-0.0,0.0010339418292457678,0.05555555555555547,0.08792723964428377,33,45,46.21668533034715,0.06564498789051093,5,0.2,-0.1437037037037035,-6.094770415290002,-0.1972222222222222
BOVAF138_2024.06.21,-0.0,0.0014016979232202012,0.06709523809523794,0.08072344322344326,29,28,46.492447129909365,0.05363141240087587,5,0.4,0.3154761904761905,11.270143256953666,0.0
BOVAG013_2024.07.19,-0.0,0.0012080605474572644,0.03820754716981136,0.0775593019504025,90,54,53.85493030459473,0.11356489046241817,9,0.3333333333333333,-0.5002657953982069,-8.422712794509025,-0.556448930826811
BOVAG127_2024.07.19,0.015072365445499777,0.02813264656961602,0.01809415584415586,0.06991078366078365,18,27,51.0,0.17379912600685235,5,1.0,0.13567665886060232,32.44076813779813,0.0
BOVAG128_2024.07.19,0.017857142857142905,0.03768255105472006,0.038953846153846214,0.09361637488995982,40,44,51.777011494252875,0.16419294656306785,10,0.6,0.18999832887287732,10.300683054158254,-0.031343283582089515
BOVAG129_2024.07.19,-0.0,0.0013084370809416667,0.037722126929674075,0.06689860656194238,66,64,52.658017298735864,0.15028800704069914,10,0.4,-0.30131811306707706,-5.314154032921499,-0.388328058496126
BOVAG13_2025.07.18,-0.0,-0.0,-0.0,-0.0,0,0,52.07120933087784,0.12347615627328734,0,0.0,0.0,0.0,0.0
BOVAG130_2024.07.19,-0.0,0.0018643896567855144,0.04258094357076775,0.0832227437584672,80,62,52.978736710444025,0.12503818600221991,14,0.6428571428571429,0.12203689011763476,2.225243341560631,-0.18048780487804883
BOVAG132_2024.07.19,-0.0,0.001610142105724798,0.045454545454545525,0.07171068858279604,88,65,54.87903225806452,0.10950716310792824,12,0.3333333333333333,-0.5141204660001653,-6.323018962389125,-0.6003588248486207
BOVAG133_2025.07.18,-0.0,0.00011480568247147884,-0.0,0.00011480568247147884,22,6,57.882706766917295,0.12807114015643412,2,0.0,-0.21739130434782608,-15.874507866387544,0.0
BOVAG134_2024.07.19,-0.0,0.0016332161548112134,0.043229166666666534,0.10019742137285158,113,66,60.54047217537943,0.12253189491199915,14,0.5,-0.4831630837366407,-3.7861631368073163,-0.5659556918332034
BOVAG136_2024.07.19,-0.0,0.0011646103857306791,0.05381223328591748,0.09182765404198787,90,55,65.18933443571724,0.1113512817846303,12,0.4166666666666667,-0.3242906568506239,-2.628131564656134,-0.4863028385414101
BOVAG138_2024.07.19,-0.0,0.0010049072024591035,-0.0,0.0010049072024591035,41,27,66.802738336714,0.0828432968952371,4,0.25,-0.47179777400490464,-10.629060200214207,-0.2631578947368421
BOVAG140_2024.07.19,-0.0,0.001536596978747349,-0.0,0.001536596978747349,6,6,69.15686274509804,0.05200209825619285,2,1.0,0.2556818181818184,32.504944678793564,0.0
BOVAG33_2024.07.19,-0.0,0.0005976757190579647,0.04387351778656133,0.052240924280397935,13,20,52.54859335038363,0.06278377135545742,2,0.5,-0.09243697478991598,-6.614378277661489,-0.1428571428571428
