Assets,Sharpe_Ratio,Expected_Return,Volatility,Success
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'JBSS3.SA', 'VIVT3.SA')",18.04278204193719,36.74237297875083,2.0364028614517324,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'CYRE3.SA', 'COGN3.SA')",17.497213189343057,19.82988250236526,1.1333166194970379,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'CYRE3.SA', 'BPAC11.SA')",19.05345244701558,33.8141941656463,1.7747016851501238,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'CYRE3.SA', 'EMBR3.SA')",8.14590456864629,25.173033271837866,3.09026862022534,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'CYRE3.SA', 'VIVT3.SA')",21.057530923725274,34.00556095419369,1.6148883303255666,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'COGN3.SA', 'BPAC11.SA')",15.729285489300175,38.07417068104753,2.4205912409020383,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'COGN3.SA', 'EMBR3.SA')",15.111351654401016,19.342583213173366,1.2800035136195147,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'COGN3.SA', 'VIVT3.SA')",18.637602891882835,22.69841411461902,1.2178826990945695,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'BPAC11.SA', 'EMBR3.SA')",16.856979189374538,40.320449216126775,2.3919142785406042,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'BPAC11.SA', 'VIVT3.SA')",20.058951184664906,38.83789142337871,1.936187543697216,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'RDOR3.SA', 'EMBR3.SA', 'VIVT3.SA')",19.053274472608916,39.11497157854279,2.0529264738601585,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'PETZ3.SA', 'B3SA3.SA')",15.615403695444437,18.672860891864456,1.1957975122546456,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'PETZ3.SA', 'CPLE6.SA')",18.380398090294488,16.724086330253375,0.9098870572930787,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'PETZ3.SA', 'ELET3.SA')",18.725265185879536,22.646079409593057,1.209386312278779,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'PETZ3.SA', 'JBSS3.SA')",13.2564953419727,30.02789976295362,2.2651461784080533,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'PETZ3.SA', 'CYRE3.SA')",17.933242346243897,20.998655818452157,1.170934703999598,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'PETZ3.SA', 'COGN3.SA')",14.863668028250936,11.66966099200331,0.7851131342427138,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'PETZ3.SA', 'BPAC11.SA')",16.513488837152735,39.99565995675686,2.4219993940210234,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'PETZ3.SA', 'EMBR3.SA')",15.572087835395964,21.495816891919645,1.3804068612468787,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'PETZ3.SA', 'VIVT3.SA')",19.094866420951686,25.736027130361297,1.347798228225501,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'B3SA3.SA', 'CPLE6.SA')",18.89220965235128,20.82965779455091,1.1025527546989984,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'B3SA3.SA', 'ELET3.SA')",19.177182653665902,33.40638243988135,1.7419859341797215,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'B3SA3.SA', 'JBSS3.SA')",14.944495181966484,30.875778059605317,2.0660301792504243,True
"('IRBR3.SA', 'MRFG3.SA', 'BBDC4.SA', 'TOTS3.SA', 'B3SA3.SA', 'CYRE3.SA')",18.332981273600666,29.95888433682858,1.634152344876341,True
