symbol,type,name,open,high,low,close,volume,financial_volume,trades,bid,ask,category,contract_size,created_at,updated_at,variation,ewma_1y_max,ewma_1y_min,ewma_1y_percentile,ewma_1y_rank,ewma_6m_max,ewma_6m_min,ewma_6m_percentile,ewma_6m_rank,ewma_current,has_options,iv_1y_max,iv_1y_min,iv_1y_percentile,iv_1y_rank,iv_6m_max,iv_6m_min,iv_6m_percentile,iv_6m_rank,iv_current,middle_term_trend,semi_return_1y,short_term_trend,stdv_1y,stdv_5d,beta_ibov,garch11_1y,isin,correl_ibov,entropy,security_category,sector,quotation_form,market_maker,highest_options_volume_rank,long_name,bid_volume,ask_volume,time,previous_close
ETHE11,STOCK,ETHER HASH CI,44.8,46.3,43.97,44.55,69215,3107040,0,44.52,44.59,VISTA,1,2025-02-13T10:18:52.658Z,2025-02-13T10:18:52.658Z,-1.656,100.03,44.31,95.63,44.33,100.03,44.31,95.24,44.33,69.01,False,0,0,0,0,0,0,0,0,0,-1,0.88,-1,0.04152799768296981,0.03235891276464227,-0.22649203573680748,66.11,BRETHECTF007,-0.04601796676755463,0.7134949801322111,21,,1,False,0,,194,100,2025-02-13 14:55:37,44.55
PTBL3,STOCK,PORTOBELLO ON,3.49,3.56,3.49,3.55,147800,519596,0,3.54,3.55,VISTA,100,2025-02-13T10:18:52.560Z,2025-02-13T10:18:52.560Z,0.852,93.19,32.47,45.63,27.37,60.42,32.47,47.62,59.46,49.09,True,0,0,0,0,0,0,0,0,0,0,0.98,0,0.03273196358813824,0.025993270920699075,0.48155597257898036,52.14,BRPTBLACNOR8,0.12413384186487925,0.4233995916746048,11,"CONSTRUÇÃO CIVIL, MAT. CONSTR. E DECORAÇÃO",100,False,0,PBG S/A,800,1500,2025-02-13 14:55:34,3.55
SEQL3,STOCK,SEQUOIA LOG ON,2.32,2.34,2.27,2.33,180000,414652,0,2.33,2.34,VISTA,100,2025-02-13T10:18:52.530Z,2025-02-13T10:18:52.530Z,1.747,261.28,70.68,1.98,18.15,176.46,75.01,0,29.83,105.27,True,172.45,0,0,0,172.45,0,0,0,0,0,0.92,-1,0.07292512800144756,0.021444799802756005,1.5028097060239631,72.89,BRSEQLACNOR2,0.17387705415965765,0.2805704132162332,11,SERVIÇOS TRANSPORTE E LOGÍSTICA,100,False,180,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,100,500,2025-02-13 14:55:08,2.33
AMAR3,STOCK,LOJAS MARISAON,1.15,1.17,1.13,1.15,84600,97674,0,1.15,1.16,VISTA,100,2025-02-13T10:18:52.682Z,2025-02-13T10:18:52.682Z,1.77,79.53,28.86,46.83,37.4,67.31,29.25,65.87,48.77,47.81,True,176.39,0,0,0,0,0,0,0,0,1,0.66,1,0.03338208505367262,0.0070064539929365404,0.8240539557129268,46.21,BRAMARACNOR4,0.20828484509334627,0.20645420286493826,11,COMÉRCIO (ATACADO E VAREJO),100,False,220,MARISA LOJAS S.A.,1100,49700,2025-02-13 14:53:45,1.15
QETH11,STOCK,QR ETHER CI,10.81,10.95,10.65,10.73,134126,1443490,0,10.71,10.73,VISTA,1,2025-02-13T10:18:52.573Z,2025-02-13T10:18:52.573Z,-1.106,84.83,41.06,86.51,50.03,83,41.06,80.16,52.22,62.96,False,0,0,0,0,0,0,0,0,0,0,0.92,-1,0.03888683381441595,0.024502192254963192,-0.12406298135409953,60.96,BRQETHCTF001,-0.02691876380603772,0.650540459656933,21,,1,False,0,,344,344,2025-02-13 14:55:01,10.73
WIZC3,STOCK,WIZ CO ON,5.91,5.92,5.85,5.89,115400,679236,0,5.89,5.9,VISTA,100,2025-02-13T10:18:52.559Z,2025-02-13T10:18:52.559Z,-0.169,49.83,20.65,66.27,37.46,43.9,20.65,80.16,47.01,31.58,True,68.22,13.55,75,28.97,57.59,13.55,84.13,35.97,29.39,1,0.88,0,0.02128436516748538,0.012322246964235117,0.08376463914895502,33.92,BRWIZCACNOR5,0.033205918915548895,0.7577757552794585,11,SEGURADORAS E CORRETORAS,,False,148,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,100,200,2025-02-13 14:54:46,5.89
TGMA3,STOCK,TEGMA ON,30.87,31.49,30.73,31.24,142000,4439290,0,31.24,31.26,VISTA,100,2025-02-13T10:18:52.614Z,2025-02-13T10:18:52.614Z,0.904,38.53,16.98,46.43,34.99,32.43,20.39,31.75,34.3,24.52,False,0,0,0,0,0,0,0,0,0,0,1,1,0.015592517292124856,0.010023401886912454,1.014503997228135,24.06,BRTGMAACNOR7,0.5489755603244008,0.36261751672553527,11,SERVIÇOS TRANSPORTE E LOGÍSTICA,100,False,0,TEGMA GESTAO LOGISTICA S.A.,100,100,2025-02-13 14:55:39,31.24
QBTC11,STOCK,QR BITCOIN CI,33.85,33.94,33.41,33.71,87058,2932650,0,33.69,33.72,VISTA,1,2025-02-13T10:18:52.625Z,2025-02-13T10:18:52.625Z,-1.72,71.77,32.37,8.33,34.8,66.8,37.46,5.56,29.38,46.08,False,0,0,0,0,0,0,0,0,0,1,1.1,-1,0.03099311915980899,0.011873352756750371,-0.07059133834472854,49.16,BRQBTCCTF008,-0.019217708972344816,0.25154854306206714,21,,1,False,0,,342,341,2025-02-13 14:55:42,33.71
AMZO34,STOCK,AMAZON DRN,65.92,66.39,65.65,65.75,969230,63986500,0,65.74,65.77,VISTA,1,2025-02-13T10:18:52.547Z,2025-02-13T10:18:52.547Z,-0.258,43.9,15.7,11.51,34.33,35.4,20.63,0.79,32.16,25.38,True,59.52,0,0,0,59.52,0,0,0,0,1,1.11,-1,0.016711545605015723,0.009380974995339677,-0.08872642865146688,22.86,BRAMZOBDR002,-0.04479730266102611,0.24870277884660816,1,,1,False,210,,47,162,2025-02-13 14:55:37,65.75
C2OI34,STOCK,COINBASEGLOBDRN,63.5,68.32,63.5,67.07,622313,41308900,0,66.96,67.12,VISTA,1,2025-02-13T10:18:52.538Z,2025-02-13T10:18:52.538Z,6.073,139.23,54.93,15.08,26.49,139.23,59.69,11.11,22.09,77.26,False,0,0,0,0,0,0,0,0,0,0,1.18,-1,0.04954847054459713,0.04171975717129143,0.15772028820788198,78.98,BRC2OIBDR003,0.026857945684288898,0.6418084739428737,1,,1,False,0,,2994,1493,2025-02-13 14:55:44,67.07
